20230624	14:44:31	348b37f3-054f-47bc-87a4-61b07facb208	DELETE	undefined	/employees
20230624	14:44:36	1fa79f11-dd56-4d9e-9a1c-33af90bd5416	DELETE	undefined	/employees
20230624	14:44:43	80011527-2bb9-4df2-bd1d-cf9142f1606c	DELETE	undefined	/employees
20230624	14:44:47	e4f5d1ff-25fe-40b1-a61a-aba472e2eb08	DELETE	undefined	/employees
20230624	14:44:51	d2fd5e0e-2e68-49db-b3e2-32b056a14960	DELETE	undefined	/employees
20230624	14:45:09	dc87dd35-ac15-4c87-aa2e-6a3cc4734dd4	DELETE	undefined	/employees
20230624	14:45:10	4bfcad54-12de-4928-82fa-7beeb6af42b1	DELETE	undefined	/employees
20230624	14:45:10	75e69cc6-64dd-4839-816e-79f6a385e0df	DELETE	undefined	/employees
20230624	14:45:11	1bf40356-a7eb-4f26-8176-a05215d189eb	DELETE	undefined	/employees
20230624	14:45:11	678ff46e-d777-4bc7-b221-8836cd051494	DELETE	undefined	/employees
20230624	14:45:11	ace42be1-31db-49bb-b377-abd7bb4d2357	DELETE	undefined	/employees
20230624	14:45:11	4bb85bca-b134-4181-9c1b-0f4d4729df86	DELETE	undefined	/employees
20230624	14:45:11	33f5bcb1-c681-42c3-b640-d6f1bc994d7b	DELETE	undefined	/employees
20230624	14:45:11	f462d51e-57aa-4696-b6ba-d4a6cf5bfc5d	DELETE	undefined	/employees
20230625	11:03:03	742321c9-ae47-4a07-8f0e-1991f8875eb2	POST	undefined	/register
20230625	11:03:31	8bb63d7d-e425-41d7-9ffe-a07f706cf17b	POST	undefined	/register
20230625	11:06:28	818f2029-4147-487e-b87b-7a8d45154f45	POST	undefined	/register
20230625	11:15:39	8b0c097d-a260-4bf1-b86c-c309ce98a5bc	GET	undefined	/yees
20230625	11:15:39	03b57c6a-d84c-47d7-9b5d-b429e8a5d704	GET	undefined	/css/style.css
20230625	11:15:39	567078d1-20a8-428e-b2ca-ffd4e9d5c7f9	GET	undefined	/favicon.ico
20230625	11:17:31	abaa41c8-3373-429c-94d0-5d6a239a7121	POST	undefined	/register
20230625	11:17:42	6371f21e-b6a4-476a-9f7e-3a2351b0f458	GET	undefined	/register
20230625	11:18:03	3d20df2a-0147-4581-b97a-425c25ae0fe0	GET	undefined	/auth
20230625	11:18:10	65e64a77-b238-4606-a243-057150e14839	POST	undefined	/register
20230625	11:19:25	1c05a9d3-0d77-4e2b-bc8a-f9f4cf44fa44	POST	undefined	/auth
20230625	11:20:03	298bc1ab-8c00-4ad0-9de9-174400922029	POST	undefined	/auth
20230625	13:37:13	03f6e90e-3a47-4d2c-95a2-62f29b4f5de8	POST	undefined	/auth
20230625	13:38:34	ce9cfe7a-25ba-4655-9e9a-b45b70c0f3f9	POST	undefined	/auth
20230625	13:38:44	7baa5e0a-8d69-416f-90dd-e164f9e0787a	POST	undefined	/auth
20230625	13:45:41	e0749463-020f-4fba-92d7-ebc2c32f3e18	POST	undefined	/auth
20230625	13:47:50	5b8af3c8-299d-4072-a89b-5ff1ea260811	GET	undefined	/employees
20230625	13:48:22	f6e8f764-e42d-48dc-9f7d-cbc16c318a47	POST	undefined	/register
20230625	13:48:39	193d7274-2ac2-4597-9c58-6680564c972c	POST	undefined	/auth
20230625	13:50:00	94dc55fa-e4c8-447f-a8f2-fc2f08a295bb	POST	undefined	/auth
20230625	13:53:59	a5cfdf95-2e8b-4aba-8854-ccfa7df83193	POST	undefined	/auth
20230625	13:54:18	86911e01-c044-4fc4-a1dd-471f216949ed	POST	undefined	/auth
20230625	14:01:50	156d8b40-4c39-460b-93a9-aa893d8ef013	POST	undefined	/auth
20230625	14:14:01	1249c6bb-e5e1-464b-9536-e7196ab37c98	POST	undefined	/auth
